"filename", "language", "Properties", "Markdown", "Python", "TSV", "JavaScript", "C", "HTML", "Shell Script", "CSS", "JSON", "XML", "reStructuredText", "C++", "Ini", "Jinja", "pip requirements", "Batch", "YAML", "PowerShell", "comment", "blank", "total"
"c:\Users\El Capitan\Downloads\PRJCT\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 46
"c:\Users\El Capitan\Downloads\PRJCT\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\App.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\App.test.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\axiosConfig.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 39
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\ActivateStrategies.js", "JavaScript", 0, 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 331
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\ActivateStrategyModal.js", "JavaScript", 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 429
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\AuthPage.js", "JavaScript", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 173
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\Brokers.js", "JavaScript", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 145
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\Chatbox.js", "JavaScript", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 194
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\Dashboard.js", "JavaScript", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\DeleteAccount.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 70
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\DeleteStrategy.js", "JavaScript", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\DeleteWebhook.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 70
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\Management.js", "JavaScript", 0, 0, 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 289
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\Menu.js", "JavaScript", 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 213
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\OauthCallback.js", "JavaScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 53
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\Strategies.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\TradesTable.js", "JavaScript", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 134
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\TradingViewWidget.js", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 58
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\TradovateWebSocket.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 55
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\WebhookDetailsModal.js", "JavaScript", 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 268
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\WebhookModal.js", "JavaScript", 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 268
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\components\Webhooks.js", "JavaScript", 0, 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 273
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\index.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\El Capitan\Downloads\PRJCT\frontend\src\theme.js", "JavaScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\OpenSSL\SSL.py", "Python", 0, 0, 2342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 489, 2962
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\OpenSSL\__init__.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\OpenSSL\_util.py", "Python", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33, 125
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\OpenSSL\crypto.py", "Python", 0, 0, 2358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 632, 3063
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\OpenSSL\debug.py", "Python", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\OpenSSL\rand.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 41
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\OpenSSL\version.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 29
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\PyJWT-2.9.0.dist-info\AUTHORS.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 54, 241
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\_yaml\__init__.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 34
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\annotated_types\__init__.py", "Python", 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 115, 433
"c:\Users\El Capitan\Downloads\PRJCT\venv\Lib\site-packages\annotated_types\test_cases.py", "Python", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30, 152
